names,scores,logfoldchanges,pvals,pvals_adj
INPP5A,29.021795,2.3397884,3.493517923194636e-185,1.3487075294285212e-180
LY9,28.915033,2.7406576,7.727200172343881e-184,1.4915814492675392e-179
CYRIA,26.795256,2.5834694,3.670041805246006e-158,4.722854464444244e-154
CCSER1,25.016087,2.5778868,4.0859359999487577e-138,3.9435411303505432e-134
TNFRSF13B,24.749022,2.945807,3.1763424260842124e-135,2.4525175140281423e-131
EBF1,23.90702,2.2336845,2.5887767793830243e-126,1.6657052724143508e-122
MAST4,23.742125,2.7472694,1.3251026444260388e-124,7.308130384387379e-121
ARHGAP24,23.71296,2.2239954,2.6504486629089587e-124,1.2790402635032908e-120
TNFSF9,23.214945,2.6487234,3.2167695916408674e-119,1.3798511872765258e-115
CXCR5,23.07889,2.1618314,7.544883558668668e-118,2.912777746659626e-114
