names,scores,logfoldchanges,pvals,pvals_adj
TNFAIP2,19.742313,8.59568,9.340132918532598e-87,3.605851714528695e-82
SLC8A1,19.518908,9.748154,7.584278921160915e-85,1.4639933601516913e-80
PLAUR,19.396719,7.1427197,8.225789113472572e-84,9.369508791165152e-80
MCTP1,19.388199,6.9149213,9.707826546303841e-84,9.369508791165152e-80
LYZ,19.355444,10.432638,1.8340446236709512e-83,1.416102534828815e-79
CST3,19.26511,7.512452,1.0544141144513639e-82,6.78445188375156e-79
IFI30,19.136992,4.8867655,1.2423917917090561e-81,6.851968215817118e-78
PTPRE,19.106525,4.624316,2.2282381355810884e-81,1.0752920182780438e-77
FGR,19.088783,5.6744566,3.129719494753161e-81,1.3425105646048949e-77
DOCK5,19.06528,7.5349436,4.90628790334485e-81,1.894121507965313e-77
