names,scores,logfoldchanges,pvals,pvals_adj
KLRK1,30.002707,4.578896,9.04732620206706e-198,3.492810753570009e-193
CD8A,29.190327,5.277391,2.5729537662572163e-187,4.966572655006305e-183
LINC02446,27.874735,7.254843,5.402227930104906e-171,6.951947048987667e-167
NELL2,27.84736,3.8718367,1.1593902365784566e-170,1.1189854868336973e-166
PDE3B,27.455256,3.2325253,6.013146281476827e-166,4.642870506853889e-162
CD8B,27.323347,5.361967,2.239966706360823e-164,1.4412692444294323e-160
NDFIP1,25.301256,2.41769,3.094213581899572e-141,1.493190119285186e-137
APBA2,25.251774,3.1904414,1.0828690720073665e-140,4.645027043768488e-137
OXNAD1,24.07305,2.432582,4.789632248034985e-128,1.8490854256763867e-124
MGAT4A,24.019396,2.3679376,1.744108827825971e-127,6.121187764277221e-124
