names,scores,logfoldchanges,pvals,pvals_adj
TNFAIP2,19.743881,8.575825,9.054888004020308e-87,3.49573006283208e-82
SLC8A1,19.521765,9.768082,7.171764865751791e-85,1.3843657720360682e-80
PLAUR,19.399755,7.141554,7.753959690611949e-84,8.693486929238177e-80
MCTP1,19.39205,6.908328,9.007394632169276e-84,8.693486929238177e-80
LYZ,19.357864,10.427727,1.7499383007573582e-83,1.3511623607807714e-79
CST3,19.267467,7.5068274,1.0074734580204053e-82,6.482420053389295e-79
IFI30,19.137962,4.877019,1.2194757349934802e-81,6.725582889308328e-78
PTPRE,19.11555,4.628062,1.8743401185978265e-81,9.04509682732346e-78
FGR,19.091911,5.6705008,2.947857106377031e-81,1.2644996827643516e-77
DOCK5,19.06938,7.544845,4.536580263079462e-81,1.751392176364457e-77
