names,scores,logfoldchanges,pvals,pvals_adj
MARCKS,33.020016,3.0706706,4.1924920806575585e-239,1.618553492658657e-234
CYRIA,31.016098,2.5649023,3.270542597198703e-211,6.313128375372656e-207
CD83,30.56649,2.2449837,3.414372067464147e-205,4.3938416012173616e-201
SEMA7A,30.441082,2.7238252,1.572032827179514e-203,1.5172474831523078e-199
TNFRSF13B,29.056967,3.0965,1.2565396045821074e-185,9.701993594899369e-182
RIPK2,28.438906,2.2567534,6.683662004427826e-178,4.3004909223823445e-174
BCL2A1,28.168606,2.08129,1.418185755214592e-174,7.821497037973506e-171
ARHGAP24,27.892597,2.2557862,3.2808476500793714e-171,1.5832550547370527e-167
HSP90AB1,27.491516,1.202468,2.2175987324537138e-166,9.512512962789786e-163
PIKFYVE,27.201164,1.8683761,6.292144071393875e-163,2.4291451402023196e-159
