names,scores,logfoldchanges,pvals,pvals_adj
IL7R,39.949688,3.8629396,0.0,0.0
SYTL3,39.087013,2.7951014,0.0,0.0
TNFAIP3,37.62321,2.4757965,8.9734184493032e-310,1.1547593088459974e-305
PTGER4,37.44702,2.4350724,6.7162630353200605e-307,6.482201268539156e-303
PABPC1,37.409267,0.8289184,2.7621198221420642e-306,2.1326879570723307e-302
PRKCA,37.276245,2.4525044,3.9820579711716684e-304,2.266314570525279e-300
FYN,37.152985,2.3878646,3.9233932691752306e-302,1.893331506872237e-298
CD6,37.110023,2.4070575,1.936275114557475e-301,8.305759674733987e-298
TPT1,36.69123,0.6992044,1.0078132914024744e-294,3.8907639927883926e-291
BCL11B,36.515938,2.6756766,6.194753186023157e-292,2.174133104541909e-288
