names,scores,logfoldchanges,pvals,pvals_adj
TIGIT,31.494251,4.9956393,1.0412792870035826e-217,4.019962815406031e-213
TBC1D4,31.301645,3.2792664,4.4318850550642367e-215,8.554867721790496e-211
CTLA4,29.348751,5.6181855,2.4788602912409757e-189,2.3924720100912278e-185
ICA1,29.198725,5.934333,2.0129226615962415e-187,1.55421784547169e-183
FYN,28.912592,2.5520897,8.293140493235424e-184,5.336083031364114e-180
TOX,28.801888,4.478674,2.0313151374430557e-182,1.120299317087523e-178
PRKCH,28.39404,2.6536973,2.3956106676543973e-177,1.1560618179433208e-173
STAM,28.383253,2.949508,3.2551124028737667e-177,1.396298549170496e-173
ATXN1,27.995148,2.6859295,1.861506129953799e-172,7.186530565299637e-169
PHACTR2,27.833935,3.3755708,1.6856937677812606e-170,5.916172145360304e-167
