names,scores,logfoldchanges,pvals,pvals_adj
TCL1A,24.670486,3.2700663,2.218638376160123e-134,8.56527531500377e-130
IGHD,24.48235,2.9368834,2.277592027755686e-132,4.396435891176801e-128
MS4A1,24.3304,2.707849,9.34906936276207e-131,1.2031005727293083e-126
FCER2,23.148792,2.5639732,1.4950203865960957e-118,1.3102612745830402e-114
IGHM,23.14333,3.1199322,1.696965853213283e-118,1.3102612745830402e-114
CD79B,22.993925,2.5173101,5.36165014279215e-117,3.4498644235438956e-113
COL19A1,22.726213,2.6967914,2.4671455343296e-114,1.1905827562291067e-110
MARCHF1,21.77176,2.5429356,4.2980604935116274e-105,1.659309234125099e-101
FCRL1,21.497734,2.344512,1.6347621095476712e-102,5.737420545563399e-99
ZNF318,21.444761,2.135569,5.110797828079439e-102,1.6442288412569568e-98
