names,scores,logfoldchanges,pvals,pvals_adj
IGFBP7,6.922221,11.18917,4.4461566024351876e-12,1.3826391216289466e-08
NFIB,6.921429,11.150377,4.47109167185451e-12,1.3826391216289466e-08
COL4A1,6.916061,11.00905,4.643746702587985e-12,1.3826391216289466e-08
COL4A2,6.9122767,9.6998005,4.769364686117749e-12,1.3826391216289466e-08
EPAS1,6.9080524,7.432705,4.9135257883244405e-12,1.3826391216289466e-08
TNS1,6.9080524,9.317581,4.9135257883244405e-12,1.3826391216289466e-08
NRP1,6.902332,8.622606,5.115571508875358e-12,1.3826391216289466e-08
TIMP3,6.8942356,8.533455,5.415528625164658e-12,1.3826391216289466e-08
DOCK1,6.8937073,7.502939,5.4356789806239965e-12,1.3826391216289466e-08
FERMT2,6.891507,7.3241696,5.520432751662669e-12,1.3826391216289466e-08
