group,names,scores,logfoldchanges,pvals,pvals_adj
0,ZBTB16,32.411987,1.6414124,1.860430545283018e-230,1.1774390431343638e-227
0,ADAM7-AS1,32.33789,1.8347621,2.0531437553377802e-229,1.2784462551382314e-226
0,PAX5,32.30861,1.6832329,5.294884187087794e-229,3.244671411535101e-226
0,CENPM,32.198322,2.437927,1.8629414830942058e-227,1.123761232755233e-224
0,STX7,32.122917,1.6125113,2.110744923323004e-226,1.2536525924585832e-223
0,USPL1,32.014694,1.4512138,6.809834962039228e-225,3.983340735522522e-222
0,HSPD1,31.960579,1.2457639,3.8516749435661036e-224,2.2193695950942237e-221
0,POMP,31.859703,1.4214169,9.660037736714522e-223,5.484344365641189e-220
0,ENSG00000289963,31.794992,2.1491134,7.591734224604328e-222,4.186949878215353e-219
0,VAV3,31.746216,1.5758272,3.581015848199047e-221,1.9471647582474987e-218
0,HLA-DOA,31.738068,1.9847255,4.639078575456741e-221,2.487448159501152e-218
0,LARGE1,31.72146,1.7968396,7.861908419085954e-221,4.1577648825648266e-218
0,HLA-DPA1,31.67414,1.95686,3.5283033598099566e-220,1.8407253987678807e-217
0,PMAIP1,31.576698,1.4032261,7.713777247438275e-219,3.9706411255280275e-216
0,TAPT1,31.568325,1.6024134,1.0050594537961581e-218,5.1054375359545364e-216
0,PHACTR1,31.528835,1.9027046,3.497843525580628e-218,1.7312531685713554e-215
0,CD72,31.49416,1.7596047,1.0442778595582898e-217,5.103214056469283e-215
0,MS4A1,31.231447,2.2015083,3.988036504028657e-214,1.9245267159316293e-211
0,ZCCHC7,31.130093,1.2828165,9.433809096332748e-213,4.496316468802742e-210
0,ATF7IP,31.04667,1.2536705,1.2652247084944256e-211,5.956739645870218e-209
0,BCL11A,31.030611,1.6959652,2.083849106931171e-211,9.692660074962022e-209
0,STRBP,31.015903,1.4246664,3.2904397788879597e-211,1.5122704536160544e-208
0,CAMK2D,30.959024,1.4621147,1.920920564133111e-210,8.724595211637985e-208
0,MICAL3,30.860584,1.4801738,4.039667594416264e-209,1.8134349668608638e-206
0,DGKD,30.618265,1.3585916,6.993703132863493e-206,3.1034356683600923e-203
0,RAB30,30.529749,1.4280772,1.0502425307282981e-204,4.607461720601895e-202
0,STIP1,30.426867,1.177844,2.424123336935905e-203,1.0515247814128938e-200
0,HVCN1,30.145142,1.6786559,1.2420222758416282e-199,5.2119034762110754e-197
0,ZEB2,30.039747,1.740161,2.9720060951680773e-198,1.2337340570974063e-195
0,SH3BP5,29.9627,1.40715,3.0062423956711725e-197,1.2245547031478682e-194
0,PLEKHG1,29.942696,1.6296874,5.477033010631426e-197,2.2025660042545502e-194
0,CD79B,29.846436,1.6091968,9.765647897033822e-196,3.886727863019461e-193
0,HDAC9,29.718521,1.807136,4.426217459601337e-194,1.708785512453692e-191
0,JUND,29.628494,0.7725503,6.420059640687055e-193,2.4299296322388674e-190
0,FAM3C,29.618816,1.5383419,8.554600845716455e-193,3.206397283977956e-190
0,HSP90AA1,29.577372,1.200718,2.9209942412115457e-192,1.084306766117432e-189
0,LINC02397,29.495422,2.0096188,3.2956082680826385e-191,1.2002854037509277e-188
0,BANK1,29.29312,2.3230796,1.2690506899343357e-188,4.578782330430371e-186
0,USP12,29.115429,1.221499,2.289820876442871e-186,8.185261551477174e-184
0,BACH2,29.067753,1.324991,9.180608935391999e-186,3.251620078529757e-183
0,ARHGAP24,29.062958,1.7811676,1.0555324187016794e-185,3.7045349596724573e-183
0,CARMIL1,28.886097,1.9622866,1.7849891885814835e-183,6.152793983426496e-181
0,CHPT1,28.870707,1.5659019,2.7854997327191346e-183,9.516548909854417e-181
0,ADK,28.833685,1.165915,8.116099928812335e-183,2.719169401412476e-180
1,IGHD,43.38512,2.9883637,0.0,0.0
1,LAPTM5,40.072723,1.4322014,0.0,0.0
1,YBX3,39.988068,2.913035,0.0,0.0
1,AFF3,39.209774,2.393912,0.0,0.0
1,IGHM,39.139877,3.055562,0.0,0.0
1,FCER2,38.82791,2.373379,0.0,0.0
1,LY9,38.418316,2.4254742,0.0,0.0
1,COL19A1,38.206467,2.5523858,0.0,0.0
1,FCRL1,38.03438,2.2908115,0.0,0.0
1,ZNF318,38.02038,2.099217,0.0,0.0
1,EIF2AK3,35.99425,2.0464094,1.0290342893096742e-283,3.611536161189935e-280
1,MGAT5,35.65627,1.6197616,1.8840576752335234e-278,6.061327550838784e-275
1,CD72,35.00238,2.130722,2.0699638642024285e-268,6.147155764722996e-265
1,CD37,34.85306,1.4430937,3.826219736860486e-266,1.0551074225802565e-262
1,BACH2,34.512886,1.6061797,5.139900509046619e-261,1.3228733270150251e-257
1,ZBTB16,34.489506,1.955652,1.1523689314487798e-260,2.7805221854694746e-257
1,PLEKHA2,34.424187,1.7103028,1.0961560362252066e-259,2.4893058785006076e-256
1,PHACTR1,33.886772,2.2393842,1.0434799236660457e-251,2.238032551836187e-248
1,CHPT1,33.76613,1.9612807,6.198938675883233e-250,1.2595590869534109e-246
1,BCL11A,33.748238,2.039931,1.134626793823598e-249,2.1901701001176914e-246
1,CD79A,33.574207,2.0291958,3.992217906407626e-247,7.339217356893943e-244
1,LYN,33.56986,2.2342541,4.620277834037522e-247,8.107747548220571e-244
1,HLA-DMB,33.397663,1.8408006,1.4824123911733516e-244,2.4882614249408004e-241
1,HVCN1,33.310402,2.0371995,2.7297976446042746e-243,4.3911069944830263e-240
1,CD74,33.105995,2.500678,2.436321381421863e-240,3.762264930046898e-237
1,SNX2,32.99637,1.6265935,9.157684829103371e-239,1.3597753096629412e-235
1,CD22,32.812626,1.8649566,3.8895384558126844e-236,5.561463763892759e-233
1,HLA-DPA1,32.32619,2.0340059,2.9984571729555216e-229,3.991670262728305e-226
1,TCL1A,32.10091,2.2589774,4.281769394140713e-226,5.332322233232142e-223
1,ADAM28,32.099567,2.082382,4.470614550304161e-226,5.393517041532576e-223
1,HLA-DPB1,32.098286,2.0587726,4.658235188159428e-226,5.449570535578269e-223
1,GPR18,32.076805,2.2940092,9.286631473317933e-226,1.054469690173271e-222
1,IRF8,31.90634,1.8038495,2.1807168991103e-223,2.338576572418118e-220
1,PAX5,31.864826,1.8055466,8.203847555626036e-223,8.559938884662129e-220
1,MS4A1,31.47173,2.2840152,2.1174069023009354e-217,2.151173970269208e-214
1,PRKCE,31.395437,1.4824641,2.335416387047892e-216,2.311822693291562e-213
1,SNX29,31.363634,1.445868,6.341616562168821e-216,6.120611224977238e-213
1,FCHSD2,31.047915,1.4901837,1.2172913469863964e-211,1.146213408335532e-208
1,CAMK2D,30.928207,1.5822295,4.989616862663007e-210,4.5864082999992394e-207
1,RERE,30.626709,1.2987183,5.398559222824083e-206,4.846901798984804e-203
1,HLA-DMA,30.485273,1.5946954,4.084980834082916e-204,3.504550446235668e-201
1,STAP1,30.337608,1.7736499,3.6607787207098483e-202,3.0723483324287913e-199
1,SIPA1L1,30.333637,1.4320965,4.130000066625089e-202,3.3923996291942167e-199
1,HLA-DQB1,30.261295,1.9797919,3.705736775256028e-201,2.98049320719863e-198
1,STRBP,30.148783,1.4931471,1.1127828426388116e-199,8.767366208757951e-197
1,VAV3,30.140207,1.6223309,1.4414025083596058e-199,1.1129357047546188e-196
1,ZCCHC7,30.015718,1.3323855,6.119976616336213e-198,4.632702299025016e-195
1,H3-3A,29.984007,0.82869416,1.5862551101568323e-197,1.1776723996675897e-194
1,ST6GALNAC3,29.97034,1.9752657,2.39047946696686e-197,1.7412613264475964e-194
1,NIBAN3,29.810041,1.7561725,2.895265417980339e-195,2.069900309750907e-192
1,SNX9,29.706596,1.2867539,6.310928851133775e-194,4.4298130768521913e-191
1,PLEKHG1,29.583397,1.7293196,2.443692608809497e-192,1.6846642295660614e-189
1,HLA-DRB1,29.424519,2.3472893,2.667713033879059e-190,1.8068373576479818e-187
1,RUBCNL,29.286747,1.8230594,1.5298287867527152e-188,1.0010266125656834e-185
