names,scores,logfoldchanges,pvals,pvals_adj
PTCRA,7.737855,12.830039,1.0110796326408197e-14,3.657741694912929e-11
GZMB,7.7361546,11.740076,1.0246879622326998e-14,3.657741694912929e-11
IL3RA,7.734763,7.50172,1.0359559779715799e-14,3.657741694912929e-11
CLEC4C,7.7302804,10.47666,1.0730998909240034e-14,3.657741694912929e-11
LILRB4,7.7278843,8.985417,1.0934869327457868e-14,3.657741694912929e-11
PLD4,7.72773,6.152353,1.0948152353593324e-14,3.657741694912929e-11
COL24A1,7.7196913,8.704081,1.1661192396915389e-14,3.657741694912929e-11
LILRA4,7.7193046,7.869666,1.1696600980866758e-14,3.657741694912929e-11
GPR183,7.717836,4.563549,1.1832121060407298e-14,3.657741694912929e-11
ITM2C,7.714822,6.129732,1.2115152544986451e-14,3.657741694912929e-11
