names,scores,logfoldchanges,pvals,pvals_adj
LINC-PINT,13.833405,1.995851,1.6025265370131288e-43,5.573616170083681e-41
SIPA1L1,13.714211,2.6118414,8.34688427724016e-43,2.826665038659067e-40
LYN,13.504822,2.874299,1.464670614987888e-41,4.874575324329518e-39
EBF1,13.184749,3.1588202,1.074116497490776e-39,3.2145225970642557e-37
DENND4A,13.024791,1.7985516,8.844302393529723e-39,2.6264856784969885e-36
ARID1B,12.1280775,1.8234874,7.498947019134286e-34,1.9046338725045935e-31
KMT2E,12.012548,1.3458341,3.0528964607714423e-33,7.5551359464450195e-31
MT-CO1,11.993047,1.1713127,3.864241810921096e-33,9.462063491264418e-31
TRAF3,11.992871,2.4282413,3.872470682328597e-33,9.462063491264418e-31
MT-ND4,11.905141,1.0734693,1.1127527321203714e-32,2.6355172991557705e-30
