names,scores,logfoldchanges,pvals,pvals_adj
S100B,22.87764,8.6902485,7.758773729680915e-116,2.618289312807886e-111
CRYAB,22.685703,8.177025,6.200857461158955e-114,5.723919051429662e-110
SERPINE2,22.680168,8.429942,7.032007932508202e-114,5.723919051429662e-110
SPARC,22.469044,8.130286,8.336862968279583e-112,5.36421552922336e-108
S100A6,22.437088,4.9928603,1.7108655833576923e-111,9.435668101586725e-108
APOD,22.404076,8.591829,3.5916574113674255e-111,1.5406614002583426e-107
CD63,22.260841,7.521284,8.856918018907965e-110,2.442358407414006e-106
FXYD3,22.105572,8.765674,2.793745767998661e-108,6.344432301138607e-105
MT2A,22.094358,7.6058035,3.581179053061813e-108,7.680833251250242e-105
S100A1,22.024288,9.41527,1.68535858457633e-107,3.424471237692305e-104
