names,scores,logfoldchanges,pvals,pvals_adj
GZMK,16.116257,6.0733914,1.961343482930984e-58,3.7859813251016786e-54
CCL5,16.015957,5.6751018,9.887265493937795e-58,1.2723592388632084e-53
DUSP2,15.877665,2.3613315,9.048542050352799e-57,6.986560287918403e-53
CST7,15.547406,5.202794,1.6568198470720477e-54,1.0660531169343913e-50
SLC7A5,15.534933,2.698573,2.012810029895198e-54,1.1100934859162002e-50
NKG7,15.352122,6.552688,3.4278729037422766e-53,1.3233646132187435e-49
AOAH,14.648253,3.503615,1.3822237245950786e-48,3.811580650836972e-45
CTSW,14.604706,4.4803414,2.621107552210348e-48,6.746031877375512e-45
FYN,14.510931,2.3120983,1.0330896543277432e-47,2.492716199686053e-44
KLRK1,14.135212,3.4671378,2.304387738605404e-45,4.4481596518300117e-42
