names,scores,logfoldchanges,pvals,pvals_adj
IGFBP7,7.1345997,11.113402,9.706927200655301e-13,3.5841559078066003e-09
NFIB,7.1342645,11.123859,9.730616278094172e-13,3.5841559078066003e-09
COL4A1,7.1290674,10.991507,1.0105134841561124e-12,3.5841559078066003e-09
COL4A2,7.125379,9.693214,1.0379467796123314e-12,3.5841559078066003e-09
EPAS1,7.1211877,7.4250536,1.0700087487491635e-12,3.5841559078066003e-09
NRP1,7.1159067,8.73392,1.1117933830682068e-12,3.5841559078066003e-09
DOCK1,7.107189,7.526962,1.1843004844942682e-12,3.5841559078066003e-09
TIMP3,7.1070213,8.610273,1.1857393691870668e-12,3.5841559078066003e-09
FERMT2,7.101405,7.2770557,1.2349459689463532e-12,3.5841559078066003e-09
RBPMS,7.0971303,7.801723,1.2737395917481223e-12,3.5841559078066003e-09
