names,scores,logfoldchanges,pvals,pvals_adj
CD96,7.872069,1.0508978,3.4882452899825913e-15,4.488906588835597e-11
CD247,7.8237457,0.8990326,5.1274392121903e-15,4.9487479556454674e-11
FYB1,7.6253963,1.2303917,2.4328585605076905e-14,1.8193174559184556e-10
PRKCA,7.5894594,1.052626,3.212431009615766e-14,1.8193174559184556e-10
SLFN5,7.586022,0.8616427,3.298767598670981e-14,1.8193174559184556e-10
INPP4B,7.5629826,0.9895575,3.9393077515770025e-14,1.901011438217272e-10
STAT4,7.434831,1.2920014,1.047017565099315e-13,4.491240013136017e-10
FYN,7.3895617,1.0327697,1.4731351949710113e-13,5.153009355094661e-10
SYTL3,7.3832693,1.1169221,1.5444923471737714e-13,5.153009355094661e-10
CD2,7.3784256,0.80060583,1.6017228477732976e-13,5.153009355094661e-10
