names,scores,logfoldchanges,pvals,pvals_adj
UBE2J1,16.93441,3.518704,2.508622994148773e-64,2.4211974828026884e-60
CCDC88A,16.848076,4.815093,1.083857026703382e-63,8.368676874582154e-60
RGS13,16.788462,6.608329,2.9642496959021574e-63,1.907297062666645e-59
ENSG00000225885,16.755363,7.053341,5.174431065888918e-63,2.8537726532815365e-59
PRPSAP2,16.674957,4.8948746,1.9935705235042286e-62,9.62047295380053e-59
IRAG2,16.41528,3.846731,1.486971227652337e-60,5.218728292249648e-57
CD38,16.199823,4.4102106,5.057215762527655e-59,1.6269905977345221e-55
MEF2B,15.896731,5.856699,6.675859176259555e-57,1.6108013709917275e-53
CCDC144BP,15.687428,5.7019944,1.8437381941348598e-55,3.746281932777389e-52
ZNF608,15.642592,4.4991016,3.732207905525186e-55,7.204280920035268e-52
