names,scores,logfoldchanges,pvals,pvals_adj
TXK,32.482388,3.1134708,1.890793056638411e-231,3.649797837229125e-227
GIMAP7,31.815025,3.5641365,4.011963010951463e-222,5.162861466693073e-218
BCL11B,31.088175,2.7490516,3.480125211107677e-212,2.68707427800046e-208
GIMAP4,30.852652,3.6101584,5.161233025895969e-209,3.3209093699623297e-205
FYB1,30.79289,2.7269409,3.262532191371539e-208,1.7993331111441376e-204
LEF1,29.715122,2.7441444,4.897300777715391e-194,2.1007243758275598e-190
LINC00861,29.338783,3.2395227,3.322243680567977e-189,1.1659867230182482e-185
AAK1,29.085686,2.3162136,5.446941441659075e-186,1.6175740099745403e-182
CAMK4,28.736897,2.529864,1.3206056244264564e-181,3.641664338329127e-178
CD3E,28.733067,2.344961,1.4745033822544147e-181,3.7949785050209285e-178
