names,scores,logfoldchanges,pvals,pvals_adj
MARCKS,32.194534,3.1378973,2.1049802452167325e-227,8.126486734683718e-223
SEMA7A,30.238667,2.821753,7.353044448301329e-201,1.4193581698556055e-196
CYRIA,29.85396,2.606412,7.798892021831962e-196,1.0036134179828158e-191
CD83,28.999975,2.2528205,6.58434773102617e-185,6.354883212599908e-181
TNFRSF13B,28.588713,3.1884396,9.28151070002065e-180,7.166440041699945e-176
BCL2A1,27.37873,2.1282794,4.914593026182352e-165,3.162212972813265e-161
MAST4,27.104195,2.6734762,8.786879285487312e-162,4.846089452793188e-158
RIPK2,27.082848,2.266109,1.5680824006057875e-161,7.56717364472338e-158
PIKFYVE,26.507612,1.9209194,7.919121081765975e-155,3.396950983140636e-151
ANKRD33B,26.491964,2.3240502,1.1995903716897538e-154,4.631138588945464e-151
