names,scores,logfoldchanges,pvals,pvals_adj
PDE4D,34.981857,3.04603,4.2471401286920514e-268,1.6396509180828533e-263
KYNU,34.38872,3.5648372,3.7178730178842594e-259,7.176610286421986e-255
MARCKS,31.292252,2.7220943,5.948291430002458e-215,7.654657964889163e-211
CYRIA,30.62999,2.4534135,4.8820068600790006e-206,4.711868921005247e-202
TRIO,30.253256,2.197844,4.727355289640501e-201,3.6500855662372236e-197
BLK,30.141453,2.0425067,1.3882438863973122e-199,8.932423913042439e-196
RAPGEF1,28.932978,1.831822,4.5956514097165995e-184,2.5345674046217007e-180
PLEKHG7,28.649128,3.6429155,1.6436868855632987e-180,7.932021988007089e-177
HLA-DPB1,28.345385,2.1054304,9.541298353458912e-177,4.092792935929275e-173
HIPK2,28.296015,2.8260708,3.869019474011337e-176,1.493673658136817e-172
